system:index,lat,lon,mndwi,ndci,ndvi,.geo
33,45.51369,-92.99619,-0.4816061553257995,0.2429837518463811,0.4562334217506631,"{""type"":""Point"",""coordinates"":[-92.99619,45.51369]}"
34,40.30983,-74.51675,-0.282985339848956,0.13518886679920478,0.338654503990878,"{""type"":""Point"",""coordinates"":[-74.51675,40.30983]}"
35,44.27477,-68.35152,-0.4265905383360522,0.5284128020901372,0.84892236869638,"{""type"":""Point"",""coordinates"":[-68.35152,44.274770000000004]}"
36,44.03366,-69.95012,-0.6176078257003113,0.214013709063214,0.48554336989032904,"{""type"":""Point"",""coordinates"":[-69.95012,44.03366]}"
37,41.9181,-80.4689,-0.5986607142857143,0.31490015360983103,0.5734098517455762,"{""type"":""Point"",""coordinates"":[-80.4689,41.9181]}"
38,33.97447,-116.8608,-0.6675487925901422,0.47837091578462954,0.730070845984402,"{""type"":""Point"",""coordinates"":[-116.8608,33.97446999999999]}"
39,43.86487,-92.1986,-0.3926829268292683,0.09098132697655939,0.24087591240875914,"{""type"":""Point"",""coordinates"":[-92.1986,43.86487]}"
40,42.65463,-70.80699,-0.46348448687350835,0.17972350230414746,0.43312101910828027,"{""type"":""Point"",""coordinates"":[-70.80699,42.65462999999999]}"
41,38.884,-90.658,-0.3928914505283381,0.20557029177718833,0.23450479233226837,"{""type"":""Point"",""coordinates"":[-90.658,38.88399999999999]}"
42,27.85693,-82.36551,0.06962025316455696,0.04285714285714286,-0.38860103626943004,"{""type"":""Point"",""coordinates"":[-82.36551,27.856929999999995]}"
43,44.08896,-92.28448,-0.5755829185223998,0.19901719901719903,0.47106544077879936,"{""type"":""Point"",""coordinates"":[-92.28448,44.08896]}"
44,43.68322,-116.66319,-0.4345598509548207,0.24688856729377714,0.40375802016498624,"{""type"":""Point"",""coordinates"":[-116.66319000000001,43.683220000000006]}"
45,38.0158,-77.7161,0.6726057906458798,-0.004975124378109453,-0.17784256559766765,"{""type"":""Point"",""coordinates"":[-77.7161,38.0158]}"
46,38.1548,-77.9502,-0.3658850574712644,0.08601444517399862,0.266403162055336,"{""type"":""Point"",""coordinates"":[-77.9502,38.1548]}"
47,32.795,-99.60569,-0.1392811296534018,-0.04142011834319527,0.22435897435897437,"{""type"":""Point"",""coordinates"":[-99.60569,32.79500000000001]}"
48,28.24903,-82.75306,0.8037225042301185,0.10540788267644363,-0.7617328519855595,"{""type"":""Point"",""coordinates"":[-82.75306,28.249030000000005]}"
49,40.91661,-73.86814,-0.4621670702179177,0.22898930364549225,0.5706297106734743,"{""type"":""Point"",""coordinates"":[-73.86814,40.91661]}"
50,26.73529,-82.12721,0.5981735159817352,-0.11363636363636363,-0.35172413793103446,"{""type"":""Point"",""coordinates"":[-82.12721,26.73529]}"
51,27.85663,-82.36462,0.2740740740740741,0.0738255033557047,-0.3869346733668342,"{""type"":""Point"",""coordinates"":[-82.36462,27.85663]}"
52,37.3492,-82.2063,-0.35993485342019543,-0.02190580503833516,0.124765478424015,"{""type"":""Point"",""coordinates"":[-82.2063,37.3492]}"
53,40.47263,-87.20694,-0.4964410327983252,0.20974289580514208,0.5867924528301887,"{""type"":""Point"",""coordinates"":[-87.20694,40.47263]}"
54,39.73161,-87.08484,0.654196157735086,0.062218214607754736,-0.21922626025791325,"{""type"":""Point"",""coordinates"":[-87.08484,39.73161]}"
55,43.87533,-115.92068,-0.406266409942237,0.08655442257529049,0.3167789996452643,"{""type"":""Point"",""coordinates"":[-115.92068,43.87533]}"
56,48.54091,-93.00387,0.3277310924369748,-0.010526315789473684,-0.2631578947368421,"{""type"":""Point"",""coordinates"":[-93.00387000000002,48.54091]}"
57,44.36088,-95.14731,-0.3714139344262295,0.1123403078428661,0.3405092702356679,"{""type"":""Point"",""coordinates"":[-95.14731000000002,44.36088000000001]}"
58,47.7893,-96.45016,-0.3627892996693718,0.10303928836174944,0.4083129584352078,"{""type"":""Point"",""coordinates"":[-96.45016000000001,47.7893]}"
59,40.90666,-73.635,0.7777777777777778,-0.09333333333333334,-0.30158730158730157,"{""type"":""Point"",""coordinates"":[-73.63500000000002,40.90666]}"
60,40.80227,-74.06585,0.7520858164481525,-0.01981981981981982,-0.5380434782608695,"{""type"":""Point"",""coordinates"":[-74.06585,40.80227]}"
61,40.90056,-74.18278,-0.5726751433557716,0.3360686311077956,0.6457006369426752,"{""type"":""Point"",""coordinates"":[-74.18278,40.90056]}"
62,42.4244,-83.3159,-0.4270977980559413,0.2742782488408433,0.43834258524980174,"{""type"":""Point"",""coordinates"":[-83.3159,42.4244]}"
63,28.43489,-82.65265,-0.6033229491173416,0.518935516888434,0.8415908324907314,"{""type"":""Point"",""coordinates"":[-82.65265,28.43489]}"
64,40.16722,-74.6775,-0.4077578051087985,0.1947318908748824,0.48204921339249696,"{""type"":""Point"",""coordinates"":[-74.6775,40.16721999999999]}"
65,37.23462,-107.86863,-0.13105136008533871,-0.08473495416500602,-0.034986309704898126,"{""type"":""Point"",""coordinates"":[-107.86863,37.23462]}"
66,27.75076,-81.17683,-0.4409937888198758,0.21936459909228442,0.7708703374777975,"{""type"":""Point"",""coordinates"":[-81.17683,27.750759999999996]}"
67,41.89155,-83.19624,0.8394863563402889,-0.08071748878923767,-0.35774647887323946,"{""type"":""Point"",""coordinates"":[-83.19624,41.89155]}"
68,42.93808,-72.52546,0.17507418397626112,-0.0684931506849315,-0.4117647058823529,"{""type"":""Point"",""coordinates"":[-72.52546,42.93808]}"
69,42.38,-71.734,0.44910179640718556,0.05537459283387619,-0.19587628865979387,"{""type"":""Point"",""coordinates"":[-71.734,42.38]}"
70,41.56347,-86.49508,-0.4875717017208413,0.27887323943661974,0.3930053349140486,"{""type"":""Point"",""coordinates"":[-86.49508,41.56347]}"
71,38.32749,-109.06039,-0.3731863029599536,0.09190413285525571,0.3028107794842075,"{""type"":""Point"",""coordinates"":[-109.06039,38.327490000000004]}"
72,41.48,-82.94444,0.8982188295165394,0.12665112665112666,-0.357487922705314,"{""type"":""Point"",""coordinates"":[-82.94444,41.47999999999999]}"
73,41.74666,-70.6533,0.6190476190476191,-0.13513513513513514,-0.5849056603773585,"{""type"":""Point"",""coordinates"":[-70.6533,41.74666]}"
74,40.03054,-85.31502,0.02125984251968504,0.08174386920980926,0.35727908455181184,"{""type"":""Point"",""coordinates"":[-85.31502,40.03054]}"
75,27.97269,-81.84247,0.8101472995090017,0.336832895888014,-0.03551912568306011,"{""type"":""Point"",""coordinates"":[-81.84247,27.97269]}"
76,40.44569,-104.81225,-0.5311676909569798,0.2945826551964659,0.36139760050515674,"{""type"":""Point"",""coordinates"":[-104.81225,40.445690000000006]}"
77,40.52797,-121.38712,0.42168674698795183,0.08108108108108109,0.088659793814433,"{""type"":""Point"",""coordinates"":[-121.38712,40.527969999999996]}"
78,40.20663,-109.85855,-0.14868270332187858,0.10289308176100628,0.0380361478284327,"{""type"":""Point"",""coordinates"":[-109.85855,40.20663]}"
79,43.0367,-71.21969,0.33746130030959753,-0.12598425196850394,-0.24890829694323144,"{""type"":""Point"",""coordinates"":[-71.21969,43.0367]}"
80,46.94495,-94.40514,0.3738019169329074,-0.014634146341463415,-0.06666666666666667,"{""type"":""Point"",""coordinates"":[-94.40514,46.94495]}"
81,34.40497,-79.34035,-0.46912794398472313,0.382010582010582,0.7440841367221736,"{""type"":""Point"",""coordinates"":[-79.34035,34.404970000000006]}"
82,46.92198,-94.91089,-0.3578500707213578,0.11175059952038369,0.35335195530726254,"{""type"":""Point"",""coordinates"":[-94.91089,46.92198]}"
83,41.01844,-74.40106,-0.36983110075713455,0.04329896907216495,0.3643835616438356,"{""type"":""Point"",""coordinates"":[-74.40106000000002,41.01844]}"
84,36.00756,-79.94092,0.6171617161716172,0.07280832095096583,-0.3220338983050847,"{""type"":""Point"",""coordinates"":[-79.94092,36.00756]}"
85,35.34439,-103.38961,-0.17656500802568217,0.008488964346349746,0.05907626208378088,"{""type"":""Point"",""coordinates"":[-103.38961,35.34439]}"
86,44.65167,-85.45526,-0.3219682293684618,0.09908944831280128,0.5004455004455004,"{""type"":""Point"",""coordinates"":[-85.45526,44.65167]}"
87,34.66295,-118.39526,-0.5469853340575774,0.23802612481857766,0.4376004284949116,"{""type"":""Point"",""coordinates"":[-118.39526,34.66295000000001]}"
88,30.78089,-86.22094,-0.5819750719079578,0.4666666666666667,0.7722308892355694,"{""type"":""Point"",""coordinates"":[-86.22094,30.780890000000003]}"
